Title,Description,Genre
Senren＊Banka,"Senren＊Banka is a Japanese-style visual novel produced by Yuzusoft, a Japanese developer of romance VNs. This game commemorated Yuzusoft's 10th anniversary. It won numerous awards on the year of its release in Japan for its art, music, and characters.","['Adventure', 'Casual']"
A Short Hike,"Hike, climb, and soar through the peaceful mountainside landscapes of Hawk Peak Provincial Park as you make your way to the summit.","['Adventure', 'Indie']"
CULTIC,"Death is only the beginning. Crawl from your grave and gear up to fight your way through the ranks of a mysterious and twisted cult. You, your guns, and your dynamite will have to shoot, slide, blast, duck, dodge, and maybe throw a gib or two to survive in this old-school-inspired shooter.","['Action', 'Indie']"
Project Kat - Paper Lily Prologue,"Project Kat is a short, unconventional RPG horror game in which there is always another way. Solve puzzles, make friends (or not), and guide Kat as she attempts to uncover the mystery behind a strange golden letter.","['Adventure', 'Free to Play', 'Indie', 'RPG']"
Papa's Freezeria Deluxe,"Return to Calypso Island to serve seasonal sundae treats in Papa's Freezeria Deluxe! Craft sundaes for all your quirky customers while earning tips, points and Special Recipes. Switch gears and take a trip in the Food Truck to concoct your own chilly creations and see who shows up!","['Action', 'Casual', 'Indie', 'Simulation', 'Strategy']"
TOEM,"Set off on a delightful expedition and use your photographic eye to uncover the mysteries of the magical TOEM in this hand-drawn adventure game. Chat with quirky characters, solve their problems by snapping neat photos, and make your way through a relaxing landscape!","['Adventure', 'Casual', 'Indie']"
Ib,"A 2D exploration adventure game set in a creepy, mysterious art gallery.","['Adventure', 'Indie']"
Patrick's Parabox,A mind-bending recursive puzzle game about boxes within boxes within boxes within boxes. Learn to use infinity to your advantage as you explore a deep and elegant system.,"['Casual', 'Indie', 'Strategy']"
Lil Gator Game,"Embark on an adorable adventure, discover new friends and uncover everything the island has to offer. Climb, Swim, Glide and slide your way into the hearts of the many different characters you meet on your travels!","['Action', 'Adventure', 'Casual', 'Indie']"
Monster Prom 3: Monster Roadtrip,"Embark on a road trip like no other in this co-op narrative survival adventure. Visit fun locations, meet wacky characters, and manage your resources wisely. And yes: you still can date some hot monsters ;)","['Casual', 'Indie', 'Simulation', 'Strategy']"
A Castle Full of Cats,A Castle Full of Cats is a catvania hidden object game where you need to find all the cursed cats in the castle. Save each and every cat and unleash the power of love! ♡,"['Adventure', 'Casual']"
Handshakes,"Take your brain for a walk in Handshakes, a simple yet tricksy sokoban puzzle game. Guide two hands through puzzles designed to stump, not frustate, so that they may achieve their dream of a warm, firm handshake.","['Casual', 'Free to Play']"
Scarlet Hollow,Return to the crumbling coal town your family built generations ago for the funeral of your aunt. You won't be able to save everyone. You might not even be able to save yourself.,"['Adventure', 'Casual', 'Indie', 'RPG', 'Early Access']"
Frog Detective 3: Corruption at Cowboy County,"You're a detective, and a frog, and it's time to solve a mystery in the wild west.","['Adventure', 'Casual', 'Indie']"
Flowers -Le volume sur ete-,"Summer has arrived early to Saint Angraecum Academy, and with it comes change. Follow the story of Erika in the second game in the Flowers series.",['Casual']
Dialtown: Phone Dating Sim,"If you've ever wanted to romantically pursue a phone, then hot DARN, do I have just the game for you.","['Casual', 'Indie']"
ARMORED HEAD,"ARMORED HEAD is a miniature shooter, where all the action takes place in one arena. The main character is a gladiator who fights against his opponents in pursuit of the grand prize.","['Action', 'Adventure', 'Indie']"
It Steals,AROUND EVERY CORNER. Face against stealthy antagonists that will take advantage of your expectations.,"['Action', 'Indie']"
Your Turn To Die -Death Game By Majority-,"Your Turn To Die -Death Game By Majority- is a multi-ending horror adventure game. Sara Chidouin returns home from school late one night to discover that something's gone terribly wrong. When she comes to, she finds herself, her friend Joe, and 9 other people trapped in a mysterious place.","['Adventure', 'Indie', 'Early Access']"
Aokana - Four Rhythms Across the Blue - EXTRA2,Aokana - EXTRA2 is the official Misaki after story for Aokana.,"['Adventure', 'Casual', 'Sports']"
The Upturned,A frantic adventure. Welcome to the Upturned Inn: a grand hotel for the dead! You just want to find your room.,"['Action', 'Adventure', 'Indie']"
Super Lesbian Animal RPG,"Melody has decided to become a healer in this classic-inspired turn-based RPG about love, anxiety, and fighting funny-looking monsters in dungeons.","['Indie', 'RPG']"
Flowers -Le volume sur automne-,"As the summer heat fades, Suoh Shirahane is just one step away from unraveling the mystery of why her beloved Amitie partner left in the spring.","['Adventure', 'Casual']"
Stardew Valley,"You've inherited your grandfather's old farm plot in Stardew Valley. Armed with hand-me-down tools and a few coins, you set out to begin your new life. Can you learn to live off the land and turn these overgrown fields into a thriving home?","['Indie', 'RPG', 'Simulation']"
Portal 2,"The ""Perpetual Testing Initiative"" has been expanded to allow you to design co-op puzzles for you and your friends!","['Action', 'Adventure']"
Hades,"Defy the god of the dead as you hack and slash out of the Underworld in this rogue-like dungeon crawler from the creators of Bastion, Transistor, and Pyre.","['Action', 'Indie', 'RPG']"
Vampire Survivors,"Mow down thousands of night creatures and survive until dawn! Vampire Survivors is a gothic horror casual game with rogue-lite elements, where your choices can allow you to quickly snowball against the hundreds of monsters that get thrown at you.","['Action', 'Casual', 'Indie', 'RPG']"
People Playground,"Shoot, stab, burn, poison, tear, vaporise, or crush ragdolls in a large open space.","['Action', 'Casual', 'Indie', 'Simulation']"
RimWorld,"A sci-fi colony sim driven by an intelligent AI storyteller. Generates stories by simulating psychology, ecology, gunplay, melee combat, climate, biomes, diplomacy, interpersonal relationships, art, medicine, trade, and more.","['Indie', 'Simulation', 'Strategy']"
Portal,"Portal™ is a new single player game from Valve. Set in the mysterious Aperture Science Laboratories, Portal has been called one of the most innovative new games on the horizon and will offer gamers hours of unique gameplay.",['Action']
Totally Accurate Battle Simulator,"Be the leader of wobblers from ancient lands, spooky places, and fantasy worlds. Watch them fight in simulations made with the wobbliest physics system ever created, make your own wobblers in the unit creator and send your army off to fight your friends in multiplayer.","['Indie', 'Simulation', 'Strategy']"
Half-Life: Alyx,"Half-Life: Alyx is Valve’s VR return to the Half-Life series. It’s the story of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Playing as Alyx Vance, you are humanity’s only chance for survival.","['Action', 'Adventure']"
ULTRAKILL,ULTRAKILL is a fast-paced ultraviolent retro FPS combining the skill-based style scoring from character action games with unadulterated carnage inspired by the best shooters of the '90s. Rip apart your foes with varied destructive weapons and shower in their blood to regain your health.,"['Action', 'Indie', 'Early Access']"
Katana ZERO,"Katana ZERO is a stylish neo-noir, action-platformer featuring breakneck action and instant-death combat. Slash, dash, and manipulate time to unravel your past in a beautifully brutal acrobatic display.","['Action', 'Indie']"
A Hat in Time,A Hat in Time is a cute-as-heck 3D platformer featuring a little girl who stitches hats for wicked powers! Freely explore giant worlds and recover Time Pieces to travel to new heights!,"['Adventure', 'Indie']"
The Henry Stickmin Collection,A choose-your-own-path where failing is more fun than succeeding.,"['Adventure', 'Casual', 'Indie']"
OneShot,OneShot is a surreal top down Puzzle/Adventure game with unique gameplay capabilities. You are to guide a child through a mysterious world on a mission to restore its long-dead sun. The world knows you exist.,"['Adventure', 'Casual', 'Indie']"
Firework,"An accidental fire at a funeral forces the police to re-investigate a closed case of massacre. Lin Lixun participates the re-investigation by chances. As the investigation goes deeper, the past of the victims gradually emerges. However, the case becomes more bewildering.",['Indie']
Pizza Tower,"Pizza Tower is a fast paced 2D platformer inspired by the Wario Land series, with an emphasis on movement, exploration and score attack. Featuring highly stylized pixel art inspired by the cartoons from the '90s, and a highly energetic soundtrack.","['Action', 'Indie']"
Rhythm Doctor,"Save patients with your rhythm mastery! Rhythm Doctor is a rhythm game where you heal patients by defibrillating in time to their heartbeats. Learn each patient's unique heartbeat and defeat boss viruses trying to sabotage your rhythm, all set to heart-pumping, soul-soothing music.","['Indie', 'Early Access']"
Pineapple on pizza,Can a video game convey a flavor?,"['Casual', 'Free to Play', 'Indie']"
Baba Is You,"Baba Is You is a puzzle game where the rules you have to follow are present as blocks you can interact with. By manipulating them, you can change how the game works, repurpose things you find in the levels and cause surprising interactions!",['Indie']
The Murder of Sonic the Hedgehog,Sonic the Hedgehog...was murdered!? Get to the bottom of the mystery in this brand-new adventure!,"['Casual', 'Free to Play', 'Indie', 'Simulation']"
Finding Paradise,A story-driven experience about two doctors traversing backwards through a dying man's memories to fulfill his last wish.,"['Adventure', 'Indie', 'RPG']"
One Finger Death Punch,"Experience cinematic kung-fu battles in the fastest, most intense brawler the indie world has ever seen! With the unique 1:1 response system of One Finger Death Punch, players will feel the immediate feedback of every bone-crunching hit. Pay tribute to the masters using five classic kung-fu styles mixed with additional weapons.","['Action', 'Casual', 'Indie']"
The Room 4: Old Sins,"The disappearance of an ambitious engineer and his high-society wife provokes a hunt for a precious artefact. The trail leads you to the attic of their home, and the discovery of an old, peculiar dollhouse. What secrets lie within these walls?",['Adventure']
Grimm's Hollow,"A spooky, freeware RPG where you search the afterlife for your brother. Reap ghosts with your scythe, explore haunted caves, and eat ghostly treats on your journey through death.","['Adventure', 'Free to Play', 'Indie', 'RPG']"
VTOL VR,"VTOL VR is a near-futuristic combat flight game built for Virtual Reality. Pilot advanced multi-role jets, using your hands to flip switches, press buttons, and manipulate the virtual flight controls.","['Action', 'Indie', 'Simulation']"
ATRI -My Dear Moments-,"""As the world sank, I found you."" In the near future, a sudden and unexplained sea rise has left much of human civilization underwater. In a little town slowly being enveloped by the ocean, an unforgettable summer is about to begin for a boy and a mysterious robot girl...","['Adventure', 'Casual']"
Tiny Bunny,"Tiny Bunny is a non-linear horror visual novel. Those, who have heard the voice of the forest, are beyond help.","['Adventure', 'Indie', 'Early Access']"
Neon White,Neon White is a single-player speedrunning FPS where you can sacrifice your guns for godlike parkour moves.,"['Action', 'Adventure', 'Indie']"
Our Life: Beginnings & Always,"A twenty-dollar bill, four summers, fifteen years, and a one of a kind life. Create an experience that’s all your own in this near-fully customizable visual novel where you grow from childhood to adulthood with the lonely boy next door.","['Casual', 'Free to Play', 'Indie']"
Crab Champions,Claw your way across exotic islands combining fluid movement with fast paced combat to become a Crab Champion in this third person shooter with roguelike elements.,"['Action', 'Adventure', 'Casual', 'Indie', 'Racing', 'Strategy', 'Early Access']"
Placid Plastic Duck Simulator,"The ultimate high-tech rubber duck simulation, Placid Plastic Duck brings you dangerous levels of relaxation. With chill music, dreamy 3D graphics, and many different happy ducks, your only priority is to float around. Zero Ducks given.","['Casual', 'Simulation']"
Kind Words (lo fi chill beats to write to),A game about writing nice letters to real people. Write and receive encouraging letters in a cozy room. Trade stickers and listen to chill music. We're all in this together. Sometimes all you need are a few kind words.,"['Casual', 'Indie']"
CLANNAD,"From the world renowned visual novel studio Key, the highly rated story of CLANNAD is now available on Steam! Improved visuals, achievement integration, and Dangopedia make this the best version of CLANNAD to date.","['Adventure', 'Casual']"
Trombone Champ,"Honk, blow, & toot your way through over 35 songs, collect all 50 unique Tromboner Cards, and uncover the mysteries of the Trombiverse. Do you have what it takes to become the true Trombone Champ?","['Casual', 'Indie']"
SuchArt: Creative Space,"Paint on any surfaces with numerous tools in Creative Space — a free sandbox version of SuchArt: Genius Artist Simulator. Create masterpieces, complete commissions, and decorate your studio in the most advanced artist sim!","['Action', 'Adventure', 'Casual', 'Free to Play', 'Indie', 'Simulation']"
Wobbledogs,"A 3D pet simulation where you raise your own personal hive of mutating dogs, physically simulated all the way down to their guts! Wobbledogs is a casual and chill sandbox for players of all ages who want to care for their very own virtual pets in a surprising, unique, and stress-free environment.","['Casual', 'Indie', 'Simulation']"
Gravitas,Gravitas is a short first-person puzzle platforming game that transports you to the Gallery of Refined Gravity. Manipulate gravity and the gallery itself to prove yourself a pupil worthy of the Curator’s masterwork.,"['Action', 'Adventure', 'Free to Play', 'Indie']"
The Test: Final Revelation,The third chapter in The Test Trilogy. Answer a series of in-depth questions to reveal hidden truths about yourself and unlock secrets to discover who you really are as a person. The Final Revelation is upon us... but are you sure you TRULY want the answers you seek?,"['RPG', 'Simulation']"
100 hidden frogs,The frogs hid. Can you find them?,"['Adventure', 'Casual', 'Free to Play', 'Indie']"
Cube Escape Collection,"In this classic point-and-click adventure anthology you follow the path of Dale and Laura and other famous Rusty lake characters such as Mr. Crow and Mr. Owl. The series will be updated, preserved and bundled to survive the end of the Flash Games era.",[]
Epic Battle Fantasy 5,"A turn-based RPG adventure, full of video game references, juvenile dialogue, and anime fanservice... and also strategic combat, monster catching, and tons of treasure hunting! Updated with tons of new content!","['Adventure', 'RPG', 'Strategy']"
The Case of the Golden Idol,"A new kind of detective game that allows you to think and investigate freely. Discover clues surrounding 12 strange and gruesome deaths and build your own theory. Pick your suspect, deduce the motive, unmask the awful truth.","['Adventure', 'Indie']"
The Supper,"The Supper is a short adventure game about the darkest side of the human soul. Ms. Appleton was always a wellspring of kindness, until The Voice started talking to her.","['Adventure', 'Casual', 'Free to Play', 'Indie']"
Kindergarten 2,"Welcome to Kindergarten 2, which takes place on Tuesday! After the events of Monday, you'll find yourself in a new school with new friends...and new ways to get ruthlessly murdered.","['Adventure', 'Indie']"
Aokana - Four Rhythms Across the Blue,"In a world where flying through the sky is as simple as riding a bicycle, the sport ""Flying Circus"" is all the rage. Following the discovery of anti-gravitons, special shoes that allow an individual to fly, Anti-Graviton Shoes, took the world by storm.","['Adventure', 'Casual']"
Riddle Joker,"For decades, superpowers and psychic abilities were thought to be mere science fiction, but the discovery of a certain particle called the ""Astron"" at the end of the 20th century proved to the world that these wondrous phenomena were real.","['Adventure', 'Casual']"
Purrgatory,"A slice-of-death visual novel about making friends, cracking cat puns, and waiting for eternity to pass.","['Adventure', 'Casual', 'Free to Play', 'Indie']"
